drug,sideeffects
naproxen,"Muscular weakness, Discomfort, Blood uric acid increased, Arrhythmia, Lacrimal disorder"
naratriptan,"Dyspnoea, Fatigue, Paraesthesia, Cardiac murmur, Atrial fibrillation"
natamycin,"Dyspnoea, Eye irritation, Paraesthesia, Hyperaemia, Hypersensitivity"
nateglinide,"Hepatic enzyme increased, Urticaria, Hypersensitivity, Rash, Oedema peripheral"
nebivolol,"Thrombocytopenia, Rash, Dizziness, Somnolence, Skin disorder"
nedocromil,"Fatigue, Urticaria, Cough, Rhinitis, Anaphylactic shock"
nefazodone,"Decreased appetite, Pelvic pain, Tooth abscess, Influenza, Apathy"
nefopam,"Dizziness, Nausea, Hallucination, Vision blurred, Feeling abnormal"
nelarabine,"Respiratory arrest, Oedema peripheral, Oedema, Peripheral sensory neuropathy, Coma"
nelfinavir,"Dehydration, Lipodystrophy acquired, Mouth ulceration, Blood creatine phosphokinase increased, Anaemia"
neomycin,"Pruritus, Sensitisation, Cataract subcapsular, Diarrhoea, Malabsorption"
neostigmine,"Pulmonary function test decreased, Vomiting, Hypotension, Tachycardia, Gastrointestinal pain"
nepafenac,"Dry mouth, Skin disorder, Eyelid disorder, Ocular hyperaemia, Sinusitis"
nesiritide,"Dermatitis, Arrhythmia, Hypotension, Musculoskeletal disorder, Angiopathy"
nevirapine,"Erythema multiforme, Liver function test abnormal, Urticaria, Musculoskeletal discomfort, Lipodystrophy acquired"
niacin,"Disturbance in sexual arousal, Angiopathy, Paraesthesia, Anaphylactic shock, Erythema"
nicardipine,"Hyperkinesia, Shock, Oxygen saturation decreased, Cerebral ischaemia, Electrocardiogram ST segment depression"
nicorandil,"Dyspnoea, Dizziness, Body temperature increased, Nausea, Cough"
nicotine,"Extrasystoles, Malaise, Sleep disorder, Hyperhidrosis, Epistaxis"
nifedipine,"Cardiogenic shock, Urogenital disorder, Visual impairment, Pain, Rales"
nilotinib,"Hiatus hernia, Gastric ulcer, Folliculitis, Non-cardiac chest pain, Flushing"
nilutamide,"Nocturia, Gastrointestinal haemorrhage, Visual impairment, Insomnia, Chromatopsia"
nimodipine,"Hepatobiliary disease, Hypotension, Bradycardia, Vomiting, Gastrointestinal disorder"
nisoldipine,"Conjunctivitis, Libido decreased, Colitis, Cardiac failure congestive, Sinusitis"
nitazoxanide,"Metrorrhagia, Decreased appetite, Chromaturia, Hypertension, Oedema"
nitrazepam,"Salivary hypersecretion, Loss of consciousness, Somnolence, Vomiting, Illusion"
nitric,"Pulmonary haemorrhage, Haemorrhage intracranial, Mediastinal disorder, Cerebral infarction, Angiopathy"
nitrite,"Fatigue, Loss of consciousness, Dizziness, Acidosis, Dizziness"
nitrofurantoin,"Ill-defined disorder, Alopecia, Fontanelle bulging, Stevens-Johnson syndrome, Vasculitis"
nitrogen,"Dermatitis bullous, Skin hyperpigmentation, Herpes zoster, Skin ulcer, Oligomenorrhoea"
nitroglycerin,"Rash generalised, Chest discomfort, Dyspnoea, Angioedema, Tachycardia"
nitroprusside,"Hyperreflexia, Tinnitus, Nausea, Headache, Dizziness"
nitrous,"Confusional state, Arrhythmia, Hypotension, Leukopenia, Vomiting"
nizatidine,"Urticaria, Anaemia, Nasopharyngitis, Hepatitis, Liver injury"
norepinephrine,"Aggression, Photophobia, Vomiting, Dyspnoea, Pallor"
norethisterone,"Skin disorder, Metrorrhagia, Hepatitis, Menstruation delayed, Menstruation irregular"
norfloxacin,"Somnolence, Decreased appetite, Oedema, Osteoarthritis, Jaundice"
nortriptyline,"Tachycardia, Disturbance in sexual arousal, Gynaecomastia, Torsade de pointes, Feeling abnormal"
nystatin,"Hypersensitivity, Diarrhoea, Pain, Musculoskeletal discomfort, Urticaria"
o291,"Abdominal discomfort, Abdominal pain, Nausea, Paraesthesia, Diarrhoea"
oCRH,"Flushing, Cardiac arrest, Respiratory depth increased, Drug interaction, Epilepsy"
ofatumumab,"Tumour lysis syndrome, Cough, Angiopathy, Viral infection, Bronchopneumonia"
ofloxacin,"Extrapyramidal disorder, Erythema nodosum, Dizziness, Gastrointestinal haemorrhage, Cardiac arrest"
ogen,"Muscle spasms, Cerebrovascular accident, Breast tenderness, Porphyrin metabolism disorder, Optic neuritis"
olanzapine,"Blepharitis, Vaginal discharge, Epistaxis, Hypotonia, Skin ulcer"
olmesartan,"Connective tissue disorder, Infection, Dizziness, Pharyngitis, Gastrointestinal disorder"
olodaterol,"Arthralgia, Chronic obstructive pulmonary disease, Constipation, Dermatitis, Atrial fibrillation"
olopatadine,"Dermatitis contact, Nervous system disorder, Diarrhoea, Influenza, Dry mouth"
olsalazine,"Urethral disorder, Hepatitis cholestatic, Fatigue, Hypertension, Gastrointestinal disorder"
omeprazole,"Erythema multiforme, Blood alkaline phosphatase increased, Flatulence, Anorectal discomfort, Stomatitis"
ondansetron,"Vomiting, Erythema multiforme, Rash, Nervous system disorder, Hypokalaemia"
orlistat,"Palpitations, Ill-defined disorder, Mediastinal disorder, Breast disorder, Sinusitis"
orphenadrine,"Aplastic anaemia, Dizziness, Tachycardia, Urinary hesitation, Anaphylactic shock"
oseltamivir,"Dermatitis diaper, Hepatitis fulminant, Diarrhoea, Convulsion, Asthma"
ospemifene,"Deep vein thrombosis, Embolic stroke, Vaginal discharge, Angiopathy, Skin disorder"
oxacillin,"Protein urine present, Tubulointerstitial nephritis, Bronchospasm, Stomatitis, Pancytopenia"
oxaliplatin,"Dysphagia, Electrolyte imbalance, Alopecia, Anxiety, Stevens-Johnson syndrome"
oxandrolone,"Irritability, Epididymitis, Hirsutism, Hepatic necrosis, Haemorrhage"
oxaprozin,"Vision blurred, Dysuria, Gastrointestinal pain, Confusional state, Haemorrhage"
oxazepam,"Hallucination, Somnolence, Aggression, Headache, Blood disorder"
oxcarbazepine,"Hot flush, Amnesia, Mania, Mouth ulceration, Hypotonia"
oxiconazole,"Paraesthesia, Erythema, Rash, Papule, Pain"
oxprenolol,"Abdominal pain, Schizophrenia, Asthenia, Musculoskeletal discomfort, Trigeminal neuralgia"
oxybutynin,"Nasal dryness, Pollakiuria, Sinus congestion, Somnolence, Rash"
oxycodone,"Body temperature increased, Tumour invasion, Bronchospasm, Depressed level of consciousness, Urinary tract infection"
oxymetholone,"Haemorrhage, Chills, Testicular atrophy, Enlarged clitoris, Epididymitis"
oxymorphone,"Oedema, Lung disorder, Feeling jittery, Abdominal pain, Altered state of consciousness"
oxytetracycline,"Dermatitis exfoliative, Vomiting, Hypersensitivity, Fontanelle bulging, Haemolytic anaemia"
oxytocin,"Tachycardia, Anaphylactoid reaction, Hypertension, Headache, Rash"
p-aminohippurate,"Flushing, Angioedema, Paraesthesia, Muscle spasms, Urticaria"
paclitaxel,"Influenza, Interstitial lung disease, Oesophagitis, Ataxia, Hepatomegaly"
paliperidone,"Ejaculation delayed, Anaphylactic shock, Bradycardia, Blood creatine phosphokinase increased, Asthenia"
palonosetron,"Motion sickness, Electrocardiogram T wave amplitude decreased, Arthralgia, Asthenia, Dermatitis atopic"
pamidronate,"Drug administration error, Azotaemia, Thrombophlebitis, Pneumonia, Hepatic function abnormal"
pancuronium,"Muscular weakness, Paralysis, Anaphylactic shock, Flushing, Erythema"
pantoprazole,"Vasodilation procedure, Angioedema, Alanine aminotransferase increased, Gastrointestinal candidiasis, Hyperhidrosis"
papaverine,"Sedation, Flushing, Nausea, Diarrhoea, Blood pressure increased"
paraldehyde,"Hepatitis toxic, Subcutaneous abscess, Hyperhidrosis, Skin exfoliation, Confusional state"
parecoxib,"Hypersensitivity, Wound infection, Post procedural complication, Dyspepsia, Hypotension"
paricalcitol,"Hyperphosphataemia, Abdominal pain, Skin ulcer, Discomfort, Dizziness"
paromomycin,"Abdominal pain, Diarrhoea, Nausea"
paroxetine,"Pulmonary fibrosis, Antisocial behaviour, Anxiety, Stomatitis, Pancreatitis"
pazopanib,"Left ventricular dysfunction, Pain, Musculoskeletal pain, Connective tissue disorder, Hyperhidrosis"
pegaptanib,"Mydriasis, Eyelid irritation, Eye irritation, Corneal erosion, Cataract"
pemetrexed,"Ocular surface disease, Rash, Dyspnoea, Loss of consciousness, Dizziness"
pemirolast,"Dysmenorrhoea, Dry eye, Bronchitis, Ocular discomfort, Sensation of foreign body"
penbutolol,"Catatonia, Affect lability, Body temperature increased, Oropharyngeal pain, Oropharyngeal discomfort"
penciclovir,"Parosmia, Dysmenorrhoea, Hypoaesthesia, Stevens-Johnson syndrome, Leukocytoclastic vasculitis"
penicillin,"Asthenia, Atrophy, Nausea, Vision blurred, Osteoarthritis"
pentamidine,"Hemianopia, Tuberculosis, Sepsis, Encephalitis viral, Gastritis"
pentastarch,"Coagulopathy, Anaphylactic shock, Anaemia, Shock, Sepsis"
pentazocine,"Vomiting, Syncope, Hyperhidrosis, Erythema multiforme, Disorientation"
pentobarbital,"Hypoxia, Anaemia megaloblastic, Ataxia, Respiratory failure, Agitation"
pentosan,"Epistaxis, Pelvic pain, Dizziness, Photosensitivity reaction, Urethritis"
pentostatin,"Pericardial effusion, Photophobia, Neuropathy peripheral, Amnesia, Gastrointestinal disorder"
pentoxifylline,"Nausea, Angina pectoris, Anaphylactic shock, Purpura, Angioedema"
perampanel,"Dysarthria, Malnutrition, Upper respiratory tract infection, Musculoskeletal pain, Infestation"
pergolide,"Aphthous stomatitis, Orthostatic hypotension, Skin mass, Ear pain, Hypotension"
perhexiline,"Cachexia, Weight decreased, Tension, Extrapyramidal disorder, Hepatitis viral"
perindopril,"Polyuria, Neutropenia, Dizziness, Cough, Pneumonia"
perindoprilat,"Pancreatitis acute, Neutropenia, Psoriasis, Hepatic failure, Jaundice"
permethrin,"Sensory loss, Abdominal pain, Dermatitis, Paraesthesia, Rash"
perphenazine,"Incontinence, Haemolytic anaemia, Somnolence, Orthostatic hypotension, Angioedema"
pertechnetate,"Anaphylactic shock, Hypersensitivity"
phencyclidine,"Conjunctivitis, Nausea, Lacrimation increased, Swelling, Wheezing"
phendimetrazine,"Tremor, Cardiac valve disease, Abdominal pain upper, Psychotic disorder, Insomnia"
phenelzine,"Nervousness, Tachypnoea, Gastrointestinal disorder, Nightmare, Anorgasmia"
phenobarbital,"Stevens-Johnson syndrome, Nystagmus, Respiratory failure, Mood swings, Somnolence"
phenoxybenzamine,"Nasal congestion, Abdominal discomfort, Miosis, Asthenia, Orthostatic hypotension"
phentermine,"Psychotic disorder, Abdominal pain, Erectile dysfunction, Urticaria, Oedema"
phentolamine,"Pain, Bradycardia, Pruritus, Hypertension, Angina pectoris"
phenylazo,"Vomiting, Headache, Dyspepsia, Pruritus, Jaundice"
phenylbutyric,"Ecchymosis, Renal tubular acidosis, Alkalosis, Menstruation irregular, Neuropathy peripheral"
phenylephrine,"Acute coronary syndrome, Underweight, Angiopathy, Vision blurred, Orthostatic hypotension"
phenyllactate,"Erythema, Skin exfoliation, Pain, Dermatitis, Petechiae"
phenylpropanolamine,"Respiratory depression, Vision blurred, Hypersensitivity, Serotonin syndrome, Arrhythmia"
phenytoin,"Anaphylactoid reaction, Hepatobiliary disease, Tension, Cerebral haemorrhage, Peyronie's disease"
phosphate,"Muscle spasms, Paraesthesia, Dysarthria, Atrioventricular block, Anaphylactic shock"
physostigmine,"Nausea, Salivary hypersecretion, Convulsion, Vomiting, Bradycardia"
pilocarpine,"Palpitations, Thinking abnormal, Lenticular opacities, White blood cell disorder, Agitation"
pimecrolimus,"Cough, Arthritis bacterial,  nasal type, Alcohol intolerance, Swelling"
pimozide,"Torsade de pointes, Oculogyric crisis, Electrocardiogram QT prolonged, Cataract, Visual impairment"
pinaverium,"Nausea, Constipation, Somnolence, Angioedema, Dyspepsia"
pindolol,"Erectile dysfunction, Nausea, Dizziness, Vomiting, Tension"
pioglitazone,"Cerebrovascular accident, Neoplasm, Nervous system disorder, Transient ischaemic attack, Urinary tract disorder"
piperacillin,"Body temperature increased, Hepatitis cholestatic, Rash, Diarrhoea haemorrhagic, Haematoma"
pirbuterol,"Nasal congestion, Abdominal pain, Extrasystoles, Anxiety, Back pain"
pirfenidone,"Dry skin, Constipation, Hepatobiliary disease, Headache, Mental disorder"
piroxicam,"Body temperature increased, Hypertension, Dermatitis, Pruritus, Tubulointerstitial nephritis"
pitavastatin,"Headache, Myopathy, Malaise, Immune-mediated necrotising myopathy, Constipation"
pixantrone,"Gastrointestinal pain, Somnolence, Cardiac disorder, Neoplasm progression, Thrombocytopenia"
pizotifen,"Headache, Weight increased, Fatigue, Dizziness, Somnolence"
podophyllotoxin,"Paraesthesia, Skin ulcer, Dermatitis, Dermatitis bullous, Erythema"
poly(styrene,"Drug interaction, Hypokalaemia, Hypernatraemia, Bronchitis, Bronchopneumonia"
polymyxin,"Urticaria, Nuchal rigidity, Body temperature increased, Albuminuria, Azotaemia"
polyoxyethylene,"Dermatitis, Rhinorrhoea, Muscle spasms, Abdominal pain, Abdominal distension"
polythiazide,"Dizziness, Decreased appetite, Photosensitivity reaction, Urticaria, Asthenia"
pomalidomide,"Weight decreased, Blood creatinine increased, Confusional state, Interstitial lung disease, Neutropenic sepsis"
ponatinib,"Pain in extremity, Myocardial infarction, Ocular toxicity, Dry eye, Night sweats"
posaconazole,"Balanoposthitis, Tongue disorder, Liver injury, Haematuria, Rash follicular"
potassium,"Confusional state, Paraesthesia, Diarrhoea, Flat affect, Nephrocalcinosis"
pralatrexate,"Pain in extremity, Liver function test abnormal, Neutropenia, Epistaxis, Vomiting"
pralidoxime,"Haemoglobin, Hyperventilation, Nausea, Headache, Diplopia"
pramipexole,"Gastrointestinal disorder, Left ventricular failure, Diplopia, Body temperature increased, Abscess"
prasugrel,"Leukopenia, Haematochezia, Dizziness, Nausea, Body temperature increased"
pravastatin,"Loss of libido, Injury, Dyslipidaemia, Pain, Hearing impaired"
praziquantel,"Fatigue, Polyserositis, Asthenia, Diarrhoea, Musculoskeletal discomfort"
prazosin,"Palpitations, Incontinence, Vertigo, Antinuclear antibody positive, Vision blurred"
prednicarbate,"Leukoderma, Dermatitis, Pruritus, Telangiectasia, Dermatitis acneiform"
prednisolone,"Increased tendency to bruise, Viral infection, Nitrogen balance negative, Monoplegia, Cardiac arrest"
prednisone,"Hyperthyroidism, Alopecia, Cushing's syndrome, Rosacea, Embolism venous"
pregabalin,"Affect lability, Dysarthria, Gastrooesophageal reflux disease, Connective tissue disorder, Congenital arterial malformation"
prilocaine,"Pain, Anxiety, Shock, Cardiac failure, Hypoaesthesia oral"
primaquine,"Methaemoglobinaemia, Haemolytic anaemia, Vomiting, Nausea, Dyspepsia"
primidone,"Somnolence, Anaemia, Malnutrition, Connective tissue disorder, Fatigue"
probenecid,"Haemolytic anaemia, Hepatic necrosis, Aplastic anaemia, Haematuria, Flushing"
procainamide,"Chills, Gastrointestinal tract irritation, Nausea, Systemic lupus erythematosus, Ventricular fibrillation"
procaine,"Sneezing, Anxiety, Erythema, Convulsion, Cardiac arrest"
procarbazine,"Menopause, Musculoskeletal discomfort, Vascular purpura, Optic neuritis, Pancreatitis"
prochlorperazine,"Drug withdrawal syndrome neonatal, Dry mouth, Gynaecomastia, Muscle spasms, Jaundice"
progesterone,"Jaundice, Liver function test abnormal, Ventricular septal defect, Neoplasm malignant, Increased appetite"
proguanil,"Diarrhoea, Erythema, Body temperature increased, Gastrointestinal pain, Amylase increased"
promethazine,"Tinnitus, Nerve injury, Dry mouth, Photosensitivity reaction, Arrhythmia"
propafenone,"Sciatica, Hepatomegaly, Urticaria, Thrombocytopenia, Tremor"
propantheline,"Vomiting, Nausea, Tachycardia, Salivary hypersecretion, Dermatitis atopic"
proparacaine,"Dermatitis contact, Lacrimation increased, Iritis, Haemorrhage, Pain"
propericiazine,"Eosinophilia, Pigmentation disorder, Protrusion tongue, Dyskinesia, Neuroleptic malignant syndrome"
propofol,"Dizziness, Loss of consciousness, Respiratory acidosis, Rhabdomyolysis, Arrhythmia supraventricular"
propoxyphene,"Dysphoria, Dysphoria, Immune system disorder, Myocardial infarction, Tachycardia"
propranolol,"Oropharyngeal discomfort, Gastrointestinal disorder, Diarrhoea, Erythema multiforme, Hyperkalaemia"
propylthiouracil,"Splenomegaly, Dermatitis, Neuropathy peripheral, Leukopenia, Dyspepsia"
prostacyclin,"Asthenia, Nervous system disorder, Musculoskeletal pain, Anaemia, Pallor"
prostaglandin,"Bradycardia, Immune system disorder, Angiopathy, Anaphylactoid syndrome of pregnancy, Nausea"
protriptyline,"Alopecia, Feeling abnormal, Asthenia, Constipation, Pollakiuria"
prucalopride,"Abdominal pain upper, Rectal haemorrhage, Headache, Diarrhoea, Gastrointestinal pain"
pyrantel,"Vomiting, Insomnia, Asthenia, Headache, Diarrhoea"
pyrazinamide,"Gout, Liver tenderness, Decreased appetite, Myalgia, Splenomegaly"
pyridostigmine,"Vertigo, Convulsion, Musculoskeletal stiffness, Agitation, Gastrointestinal pain"
pyridoxine,"Headache, Nausea, Paraesthesia, Neuropathy peripheral, Somnolence"
pyrimethamine,"Erythema multiforme, Hypersensitivity, Decreased appetite, Pulmonary eosinophilia, Anaphylactic shock"
quazepam,"Thinking abnormal, Headache, Withdrawal syndrome, Asthenia, Fatigue"
quetiapine,"Buccoglossal syndrome, Blood alkaline phosphatase increased, Dyskinesia, Nausea, Cerebral ischaemia"
quinapril,"Tachycardia, Cardiac disorder, Rash, Urinary tract disorder, Ill-defined disorder"
quinaprilat,"Pharyngitis, Chest pain, Viral infection, Thrombocytopenia, Dermatitis"
quinidine,"Aplastic anaemia, Lupus-like syndrome, Tinnitus, Haemolytic anaemia, Decreased appetite"
quinol,"Dermatitis contact, Hypersensitivity, Erythema, Dermatitis atopic, Pain"
rabeprazole,"Vaginal haemorrhage, Benign neoplasm of skin, Seborrhoeic dermatitis, Melaena, Herpes zoster"
radium,"Diarrhoea, Myelodysplastic syndrome, Pancytopenia, Neutropenia, Metastatic neoplasm"
raloxifene,"Dizziness, Pneumonia, Aspartate aminotransferase increased, Deep vein thrombosis, Sinusitis"
raltegravir,"Alanine aminotransferase increased, Glycosuria, Disturbance in attention, Dermatitis atopic, Weight decreased"
raltitrexed,"Hypertonia, Supraventricular tachycardia, Hepatic failure, Constipation, Neutropenia"
ramelteon,"Insomnia, Influenza, Arthralgia, Musculoskeletal discomfort, Thinking abnormal"
ramipril,"Dermatitis psoriasiform, Syncope, Skin disorder, Blood urea increased, Renal failure"
ramiprilat,"Liver function test abnormal, Malaise, Anaphylactic shock, Myalgia, Upper respiratory tract infection"
ranitidine,"Dizziness, Anaphylactic shock, Agranulocytosis, Atrioventricular block, Ventricular extrasystoles"
ranolazine,"Coordination abnormal, Peripheral coldness, Angioedema, Pancytopenia, Loss of consciousness"
rapamycin,"Chronic allograft nephropathy, Local reaction, Nervousness, Neuropathy peripheral, Connective tissue disorder"
rasagiline,"Disturbance in sexual arousal, Abnormal dreams, Dermatitis, Renal failure acute, Gastrointestinal pain"
rasburicase,"Anaphylactic shock, Alanine aminotransferase increased, Musculoskeletal discomfort, Oedema peripheral, Anxiety"
reboxetine,"Urinary retention, Paranoia, Peripheral vascular disorder, Dilatation ventricular, Diplopia"
regadenoson,"Atrioventricular block, Hypertension, Malaise, Dizziness, Abdominal discomfort"
regorafenib,"Neoplasm, Infestation, Rash, Abdominal pain, Stevens-Johnson syndrome"
remifentanil,"Laryngospasm, Confusional state, Hallucination, Stridor, Atrioventricular block"
repaglinide,"Hyperglycaemia, Dermatitis, Anaphylactic shock, Acute coronary syndrome, Myocardial infarction"
rescinnamine,"Discomfort, Constipation, Psoriasis, Osteoporosis, Skin discomfort"
reserpine,"Nasal congestion, Bradycardia, Libido decreased, Uveitis, Glaucoma"
retapamulin,"Instillation site pain, Dermatitis contact, Nasopharyngitis, Eczema, Immune system disorder"
retigabine,"Drug withdrawal convulsions, Hypokinesia, Urethral disorder, Urinary retention, Euphoric mood"
retinoic,"Dry mouth, Rash, Skin discolouration, Bronchospasm, Multi-organ failure"
retinol,"Anaphylactic shock, Hypersensitivity"
ribavirin,"Blood uric acid increased, Weight decreased, Cardiac arrest, Breast pain, Abdominal distension"
rifabutin,"Headache, Bacterial infection, Connective tissue disorder, Gastrointestinal disorder, Hypersensitivity"
rifampicin,"Renal failure acute, Leukopenia, Renal tubular necrosis, Haemoglobinuria, Flatulence"
rifapentine,"Angiopathy, Leukopenia, Pyuria, Tympanic membrane perforation, Musculoskeletal discomfort"
rifaximin,"Sunburn, Colitis, Shock, Decreased appetite, Nervous system disorder"
rilpivirine,"Renal failure, Urogenital disorder, Somnolence, Sleep disorder, Haemoglobin decreased"
riluzole,"Photosensitivity reaction, Erectile dysfunction, Haemorrhage, Deafness, Faecalith"
rimantadine,"Pollakiuria, Nervousness, Fatigue, Tinnitus, Headache"
rimexolone,"Corneal oedema, Pruritus, Cataract subcapsular, Eye infection, Photophobia"
rimonabant,"Psychotic disorder, Decreased appetite, Dysthymic disorder, Hot flush, Decreased appetite"
riociguat,"Oedema peripheral, Haemoglobin, Hypotension, Headache, Haemoptysis"
risedronate,"Vomiting, Fracture, Muscle spasms, Bone pain, Dry eye"
risperidone,"Laryngeal oedema, Blood iron decreased, Nasal congestion, Priapism, Abdominal pain"
ritonavir,"Hypotension, Phlebitis, Mania, Penis disorder, Haemoglobin"
rivaroxaban,"Myocardial ischaemia, Compartment syndrome, Blood creatinine increased, Gastrointestinal haemorrhage, Gastrointestinal disorder"
rivastigmine,"Blepharospasm, Migraine, Mastitis, Colon cancer, Bronchospasm"
rizatriptan,"Eructation, Arteriospasm coronary, Anxiety, Asthenia, Decreased appetite"
rocuronium,"Hypotension, Anaphylactic shock, Rhonchi, Nausea, Electrocardiogram abnormal"
rofecoxib,"Erythema multiforme, Pneumonia, Venous insufficiency, Gastric perforation, Duodenal ulcer"
roflumilast,"Connective tissue disorder, Feeling abnormal, Gastritis, Tension, Endocrine disorder"
ropinirole,"Cardiomegaly, Hypoglycaemia, Nasal polyps, Body temperature increased, Mental disability"
ropivacaine,"Angioedema, Post procedural complication, Urine abnormality, Hyperglycaemia, Vomiting neonatal"
rosiglitazone,"Blood triglycerides increased, Anion gap increased, Ischaemia, Ketonuria, Pruritus"
rosuvastatin,"Rash, Muscular weakness, Nausea, Sinusitis, Drug interaction"
rotigotine,"Compulsive shopping, Dizziness, Haemoglobin decreased, Lip oedema, Erythema"
roxithromycin,"Deafness, Hypersensitivity, Hearing impaired, Erythema multiforme, Hepatocellular injury"
rufinamide,"Polyuria, Nausea, Iron deficiency anaemia, Dermatitis, Head injury"
ruxolitinib,"Gastrointestinal disorder, Infection, Kidney infection, Asthenia, Urosepsis"
sacrosidase,"Nervousness, Asthma, Gastrointestinal pain, Tension, Headache"
salbutamol,"Vasodilatation, Malaise, Fatigue, Atrial fibrillation, Cardiac output increased"
salicylate,"Gastric ulcer, Dyspepsia, Constipation, Erythema multiforme, Dermatitis"
salmeterol,"Influenza, Angioedema, Hyperglycaemia, Nervous system disorder, Headache"
salmon,"Mucosal excoriation, Acute coronary syndrome, Cystitis noninfective, Paraesthesia, Dizziness"
salsalate,"Dermatitis, Angioedema, Vertigo, Hearing impaired, Haemoglobin"
samarium,"Spinal cord compression, Alopecia, Epistaxis, Haematuria, Paraesthesia"
saquinavir,"Dry mouth, Cerebrovascular accident, Haematochezia, Pharyngitis, Blood triglycerides increased"
scopolamine,"Heat exhaustion, Tachycardia, Eye disorder, Muscular weakness, Agitation"
secobarbital,"Hypotension, Syncope, Hypersensitivity, Hallucination, Rash"
selenium,"Alopecia, Skin irritation, Alopecia, Skin irritation"
sertaconazole,"Pruritus, Skin hyperpigmentation, Application site reaction, Erythema, Skin exfoliation"
sertraline,"Laryngitis, Dyskinesia, Dyspnoea, Cough, Dermatitis"
sevelamer,"Vomiting, Dermatitis, Faecaloma, Skin disorder, Catheter site infection"
sevoflurane,"Increased bronchial secretion, Dyspnoea, Arrhythmia, Pain, Bone disorder"
sibutramine,"Visual impairment, Lacrimal structural disorder, Pollakiuria, Injury, Metrorrhagia"
sildenafil,"Body temperature increased, Infestation, Retinal oedema, Musculoskeletal discomfort, Night sweats"
silodosin,"Syncope, Sinusitis, Dizziness, Hepatobiliary disease, Retrograde ejaculation"
silver,"Erythema multiforme, Bacterial disease carrier, Skin necrosis, Agranulocytosis, Tubulointerstitial nephritis"
simvastatin,"Chest pain, Eosinophilia, Interstitial lung disease, Transaminases increased, Alopecia"
sitagliptin,"Flatulence, Hypertension, Musculoskeletal pain, Pharyngitis, Cough"
sitaxsentan,"Somnolence, Orthopnoea, Weight decreased, Agitation, Ventricular extrasystoles"
sodium,"Anaphylactoid reaction, Acute phosphate nephropathy, Vomiting, Somnolence, Asthenia"
sofosbuvir,"Cough, Migraine, Blood bilirubin increased, Rash, Nervous system disorder"
solifenacin,"Hypersensitivity, Gastrointestinal disorder, Constipation, Mental disorder, Food interaction"
sorafenib,"Hypersensitivity, Gastrooesophageal reflux disease, Hepatocellular carcinoma, Weight decreased, Recall phenomenon"
sotalol,"Tracheobronchitis, Back pain, Visual impairment, Hyperglycaemia, Ventricular tachycardia"
sparfloxacin,"Pruritus, Metrorrhagia, Dermatitis bullous, Sinusitis, Body temperature increased"
spectinomycin,"Hypersensitivity, Body temperature increased, Urticaria, Anaphylactoid reaction, Nephropathy toxic"
spinosad,"Application site erythema, Alopecia, Dry skin, Application site irritation, Erythema"
spironolactone,"Leukopenia, Urticaria, Pruritus, Amenorrhoea, Benign breast neoplasm"
stavudine,"Dermatitis, Urinary tract infection, Basedow's disease, Hypertriglyceridaemia, Chills"
stiripentol,"Muscle relaxant therapy, Gastrointestinal disorder, Rash, Hyperkinesia, Eye disorder"
streptomycin,"Paraesthesia, Renal impairment, Thrombocytopenia, Urticaria, Dermatitis exfoliative"
streptozotocin,"Blood bilirubin increased, Protein urine present, Feeling abnormal, Hypoglycaemia, Proteinuria"
strontium,"Flatulence, Myalgia, Transaminases increased, Urticaria, Insomnia"
succinylcholine,"Rhabdomyolysis, Hyperkalaemia, Porphyrin metabolism disorder, Hypertension, Respiratory depression"
sufentanil,"Urethral disorder, Chills, Urinary incontinence, Bronchospasm, Injection site pain"
sugammadex,"Body temperature increased, Infection, Headache, Hypoaesthesia, Postoperative wound complication"
sulconazole,"Pruritus, Erythema, Pain, Culture negative"
sulfacetamide,"Systemic lupus erythematosus, Hepatic necrosis, Erythema, Toxic epidermal necrolysis, Hypersensitivity"
sulfadiazine,"Muscle contracture, Body temperature increased, Vertigo, Scleral hyperaemia, Blood disorder"
sulfamethoxazole,"Neuritis, Tension, Polyuria, Nephrotic syndrome, Lung infiltration"
sulfasalazine,"Acute interstitial pneumonitis, Pallor, Haemolytic anaemia, Crystalluria, Mediastinal disorder"
sulfonamide,"Burning sensation, Discomfort"
sulindac,"Hyperhidrosis, Toxic epidermal necrolysis, Proteinuria, Stomatitis, Vomiting"
sumatriptan,"Choreoathetosis, Conjunctivitis, Tetany, Poisoning, Application site paraesthesia"
sunitinib,"Dyspnoea exertional, Renal failure, Pyoderma gangrenosum, Cerebral infarction, Cerebrovascular accident"
suprofen,"Pain, Hypersensitivity, Pruritus, Erythema, Iritis"
suvorexant,"Gastrointestinal disorder, Mediastinal disorder, Somnolence, Nervous system disorder, Cough"
tacrolimus,"Hyperuricaemia, Renal failure, Haemorrhage, Skin cancer, Dysgraphia"
tadalafil,"Abdominal discomfort, Dizziness, Orthostatic hypotension, Vomiting, Nasal congestion"
tafamidis,"Infestation, Diarrhoea, Infection, Abdominal pain upper, Vaginal infection"
tafluprost,"Eyelash hyperpigmentation, Dyspnoea, Rhinitis, Eye pruritus, Iritis"
tamoxifen,"Hypertension, Sensory loss, Cholestasis, Accidental exposure to product, Insomnia"
tamsulosin,"Fatigue, Insomnia, Pharyngitis, Sinusitis, Hyperhidrosis"
tapentadol,"Sexual dysfunction, Urinary tract disorder, Anaphylactic shock, Depression, Memory impairment"
